dataset_name,100-11,100-13,100-7,100-9,1000-11,1000-13,1000-7,1000-9,10000-11,10000-13,10000-7,10000-9,500-11,500-13,500-7,500-9,5000-11,5000-13,5000-7,5000-9
ACSF1,0.3693,0.2858,0.3848,0.3642,0.337,0.3477,0.3081,0.3251,0.3195,0.3212,0.3252,0.3324,0.3208,0.3276,0.3473,0.3095,0.328,0.3222,0.3576,0.3317
Adiac,0.3455,0.3511,0.3458,0.3384,0.348,0.3597,0.3865,0.3539,0.3817,0.3714,0.3709,0.4076,0.383,0.3686,0.3364,0.3584,0.3833,0.3369,0.3796,0.3952
ArrowHead,0.1988,0.1937,0.1885,0.2287,0.1614,0.1552,0.1566,0.3197,0.1744,0.1653,0.1606,0.3206,0.1645,0.1676,0.1584,0.3206,0.171,0.1688,0.1689,0.3172
BME,0.1216,0.1242,0.1239,0.5046,0.1249,0.1245,0.1249,0.483,0.1257,0.1246,0.1229,0.483,0.1273,0.1201,0.1223,0.483,0.1207,0.1253,0.1249,0.483
Beef,0.0679,0.049,0.035,0.0926,0.0737,0.0447,0.0839,0.0674,0.0528,0.0528,0.0749,0.0777,0.0736,0.0441,0.0568,0.0674,0.0736,0.0528,0.0713,0.0674
BeetleFly,0.2305,0.0999,0.1381,0.3447,0.4083,0.4771,0.4083,0.4092,0.4083,0.4771,0.4083,0.4092,0.4083,0.2842,0.3438,0.4092,0.4083,0.4771,0.4083,0.4092
BirdChicken,0.3438,0.3438,0.3438,0.188,0.3438,0.4778,0.4778,0.4771,0.3438,0.4778,0.3438,0.1093,0.3438,0.3438,0.3438,0.1093,0.3438,0.4778,0.3438,0.1093
CBF,0.7169,0.3378,0.1996,0.8622,0.7234,0.7045,0.7174,0.9651,0.7234,0.7174,0.7194,0.9745,0.7226,0.6925,0.7234,0.965,0.7254,0.7174,0.7194,0.9808
Car,0.2047,0.2047,0.1831,0.4025,0.284,0.2561,0.2822,0.4365,0.2822,0.2561,0.3299,0.4471,0.3082,0.2667,0.2787,0.4832,0.3504,0.2365,0.2574,0.4471
Chinatown,0.1898,0.2048,0.3292,0.7461,0.269,0.2413,0.2925,0.2683,0.2634,0.2356,0.2804,0.2683,0.2578,0.2576,0.286,0.1622,0.2634,0.2519,0.2804,0.2574
ChlorineConcentration,0.0111,0.0109,0.0111,0.0114,0.011,0.0109,0.0111,0.0115,0.0111,0.0107,0.011,0.0114,0.011,0.0107,0.0109,0.0114,0.0111,0.0109,0.0111,0.0113
CinCECGTorso,0.1057,0.0911,0.0647,0.1455,0.1198,0.1179,0.1194,0.122,0.1109,0.1234,0.1062,0.125,0.1171,0.1164,0.117,0.1549,0.1106,0.1219,0.107,0.1255
Coffee,-0.0106,-0.0012,0.0072,0.0308,-0.0083,-0.0083,-0.0012,0.5544,-0.01,-0.0083,-0.0115,0.5544,-0.0105,-0.0083,-0.0121,0.5544,-0.0083,-0.0083,-0.0083,0.5544
Computers,0.0956,0.0519,0.0352,0.0909,0.0657,0.0811,0.0576,0.1309,0.0858,0.0882,0.0577,0.1194,0.0788,0.07,0.0616,0.0984,0.0557,0.0721,0.07,0.1368
CricketX,0.0959,0.0728,0.1011,0.1391,0.1211,0.1054,0.1316,0.1674,0.1273,0.1036,0.1282,0.1613,0.1089,0.0958,0.1355,0.1543,0.1393,0.1003,0.1292,0.1662
CricketY,0.1705,0.1311,0.132,0.1041,0.1751,0.1547,0.1456,0.1689,0.1601,0.1449,0.1671,0.1957,0.1743,0.1459,0.1529,0.2034,0.1725,0.1247,0.1788,0.1624
CricketZ,0.1083,0.0827,0.1001,0.1569,0.1483,0.1121,0.1351,0.1492,0.1459,0.1069,0.1443,0.1725,0.1476,0.1044,0.1242,0.1715,0.1296,0.1118,0.1219,0.1562
Crop,0.2203,0.1906,0.2067,0.2276,0.2692,0.213,0.2656,0.2936,0.2648,0.2213,0.2429,0.2991,0.2873,0.2164,0.2576,0.2825,0.2619,0.2151,0.2432,0.3
DiatomSizeReduction,0.7857,0.5888,0.5601,0.459,0.6469,0.6435,0.6469,0.5652,0.6492,0.6469,0.6531,0.5652,0.6531,0.6531,0.6483,0.5511,0.6531,0.657,0.6531,0.5585
DistalPhalanxOutlineAgeGroup,0.2142,0.4405,0.2527,0.2288,0.4745,0.4698,0.2033,0.4714,0.4731,0.4766,0.4837,0.4758,0.4806,0.479,0.1982,0.4763,0.4687,0.1979,0.1973,0.4753
DistalPhalanxOutlineCorrect,0.0006,0.0023,0.0013,0.0013,0.0005,0.0003,0.0005,-0.0003,-0.0001,-0.0,0.0007,-0.0003,-0.0004,-0.0006,0.0007,-0.0008,0.0,-0.0,0.0007,-0.0005
DistalPhalanxTW,0.3871,0.3818,0.35,0.4702,0.4383,0.4571,0.4366,0.5001,0.4338,0.437,0.4375,0.4961,0.4421,0.4828,0.4417,0.4993,0.4323,0.4348,0.3224,0.5013
DodgerLoopDay,0.1172,0.2161,0.1191,0.0516,0.229,0.1994,0.1532,0.1566,0.2274,0.2347,0.1596,0.1901,0.2216,0.2318,0.1989,0.1783,0.1957,0.2145,0.1605,0.1804
DodgerLoopGame,0.0024,-0.0049,-0.0031,0.0018,-0.0055,-0.005,-0.0059,0.0035,-0.0055,-0.005,-0.0059,0.0035,-0.0044,-0.005,-0.0051,0.0035,-0.0055,-0.005,-0.0059,0.0016
DodgerLoopWeekend,0.5418,0.6653,0.4509,-0.0177,0.6887,0.6887,0.5279,-0.0293,0.6665,0.6887,0.5292,-0.0237,0.6676,0.6887,0.5489,-0.0237,0.6665,0.6887,0.5292,-0.0293
ECG5000,0.3937,0.4079,0.3393,0.4587,0.6698,0.3978,0.4286,0.4972,0.6576,0.4032,0.6664,0.4939,0.5256,0.4139,0.4084,0.5383,0.6492,0.3974,0.6668,0.4976
ECGFiveDays,0.2314,0.2018,0.1668,-0.0007,0.3065,0.3534,0.2039,0.0247,0.3065,0.3348,0.208,0.0247,0.2492,0.3374,0.227,0.0226,0.3141,0.3141,0.2142,0.0247
EOGHorizontalSignal,0.1365,0.1362,0.1355,0.0527,0.1655,0.1462,0.1643,0.1344,0.1561,0.1481,0.1545,0.14,0.1657,0.1368,0.1583,0.1421,0.135,0.1345,0.1487,0.1345
EOGVerticalSignal,0.0666,0.0623,0.0742,0.0247,0.0856,0.0631,0.077,0.046,0.0773,0.0568,0.0709,0.0451,0.0749,0.0706,0.066,0.0463,0.0686,0.058,0.0668,0.0404
Earthquakes,-0.1008,-0.0897,-0.0487,-0.0912,-0.0962,-0.0996,-0.0963,-0.0963,-0.0961,-0.0993,-0.0961,-0.0962,-0.1012,-0.0996,-0.0963,-0.0963,-0.0961,-0.0999,-0.0963,-0.0963
ElectricDevices,0.1975,0.1806,0.2209,0.1859,0.3332,0.3155,0.245,0.3213,0.3084,0.3258,0.3321,0.3249,0.3172,0.281,0.2264,0.2062,0.3157,0.3043,0.2879,0.3228
EthanolLevel,0.0013,0.0004,0.0013,0.005,0.0015,0.0034,0.0043,0.0035,0.0017,0.0015,0.0021,0.0038,0.0023,0.0011,0.0017,0.0047,0.002,0.0013,0.0015,0.0026
FaceAll,0.362,0.3822,0.3181,0.3585,0.4898,0.4789,0.489,0.4749,0.4944,0.4754,0.497,0.4906,0.445,0.4385,0.446,0.4856,0.5011,0.4531,0.4904,0.4542
FaceFour,0.4644,0.3859,0.4092,0.4577,0.4837,0.4554,0.4554,0.4971,0.4837,0.4837,0.4837,0.4971,0.4837,0.4361,0.4554,0.6039,0.4837,0.4837,0.4837,0.4971
FacesUCR,0.3492,0.3584,0.3093,0.2647,0.441,0.4623,0.4783,0.4651,0.5029,0.4547,0.4877,0.4805,0.4831,0.4274,0.4578,0.481,0.4812,0.4494,0.4986,0.4781
FiftyWords,0.0915,0.0791,0.0573,0.127,0.2835,0.2938,0.2603,0.2906,0.2906,0.2669,0.2462,0.3106,0.2724,0.2683,0.2913,0.2528,0.2632,0.2842,0.2817,0.2587
Fish,0.2558,0.3178,0.2659,0.2393,0.5024,0.4757,0.4541,0.4302,0.4932,0.4897,0.5482,0.427,0.5276,0.5113,0.4615,0.4516,0.5305,0.4945,0.5067,0.4445
FreezerRegularTrain,0.2599,0.2321,0.2418,0.0147,0.2612,0.2571,0.266,0.2633,0.2646,0.2612,0.2653,0.2612,0.2619,0.2702,0.2524,0.2592,0.2524,0.2599,0.2653,0.2524
FreezerSmallTrain,0.2418,0.2508,0.2678,0.0033,0.2642,0.2649,0.2714,0.2656,0.2663,0.2642,0.2663,0.2699,0.2678,0.2571,0.2127,0.2663,0.2671,0.2642,0.2663,0.2628
Fungi,0.635,0.5238,0.5724,0.7013,0.8396,0.7802,0.9097,1.0,0.8351,0.8795,0.8254,1.0,0.8723,0.8956,0.8627,1.0,0.8613,0.8639,0.8664,1.0
GunPoint,-0.0034,-0.0051,-0.0049,0.6708,-0.0051,-0.0051,-0.0051,0.1997,-0.0051,-0.0051,-0.0051,0.1997,-0.0051,-0.0051,-0.0041,0.2472,-0.0051,-0.0051,-0.0051,0.1997
GunPointAgeSpan,-0.0017,-0.0017,-0.0017,0.2431,-0.0017,-0.0017,-0.0017,-0.0018,-0.0017,-0.0017,-0.0017,-0.0018,-0.0017,-0.0017,-0.0014,-0.0018,-0.0017,-0.0017,-0.0017,-0.0018
GunPointMaleVersusFemale,0.234,0.234,0.234,-0.0022,0.234,0.234,0.234,-0.0016,0.234,0.234,0.234,-0.0016,0.234,0.234,0.234,-0.0016,0.234,0.234,0.234,-0.0016
GunPointOldVersusYoung,0.2384,0.2384,0.2384,0.9911,0.2384,0.2384,0.2384,1.0,0.2384,0.2384,0.2384,1.0,0.2384,0.2384,0.2472,1.0,0.2384,0.2384,0.2384,1.0
Ham,0.0502,0.0546,0.0641,0.0271,0.0501,0.0593,0.0417,0.0459,0.0458,0.0547,0.0546,0.0547,0.0501,0.0641,0.0305,0.0304,0.0546,0.0691,0.0459,0.0547
HandOutlines,0.0467,0.0496,0.0466,0.08,0.074,0.0612,0.0702,0.0941,0.0788,0.0616,0.0732,0.0987,0.0774,0.0585,0.066,0.0839,0.0811,0.0642,0.0729,0.1002
Haptics,0.0405,0.0406,0.0446,0.0582,0.0769,0.0818,0.0729,0.078,0.075,0.0697,0.0697,0.0798,0.0733,0.0709,0.0734,0.0693,0.0676,0.0636,0.0707,0.0676
Herring,0.0371,0.0512,0.0512,-0.008,0.0049,-0.0068,0.0102,-0.0068,0.0049,-0.008,0.0049,-0.0077,0.0021,0.0127,-0.0041,0.012,0.0049,-0.0074,-0.0068,-0.0077
HouseTwenty,-0.0059,-0.0053,-0.0062,0.4839,0.0026,0.0051,-0.0059,0.3231,-0.0053,0.0026,-0.0053,0.3231,-0.0031,0.0051,-0.0062,0.3378,-0.0053,0.0004,-0.0053,0.3378
InlineSkate,0.0181,0.0115,0.0195,0.054,0.0149,0.017,0.0362,0.0519,0.0133,0.0265,0.0167,0.0502,0.038,0.0225,0.0337,0.065,0.0156,0.0148,0.0153,0.056
InsectEPGRegularTrain,0.4521,0.5934,0.4015,0.4278,0.7678,0.7643,0.7646,0.4656,0.7646,0.7643,0.7678,0.4776,0.7706,0.7643,0.7745,0.4803,0.7619,0.7555,0.6722,0.4776
InsectEPGSmallTrain,0.5619,0.7427,0.7108,0.4002,0.7965,0.7984,0.6564,0.5138,0.6719,0.7984,0.7884,0.5138,0.8064,0.7984,0.7984,0.5176,0.7965,0.7884,0.6471,0.5138
