dataset_name,100-11,100-13,100-7,100-9,1000-11,1000-13,1000-7,1000-9,10000-11,10000-13,10000-7,10000-9,500-11,500-13,500-7,500-9,5000-11,5000-13,5000-7,5000-9
Beef,0.0679,0.049,0.035,0.0926,0.0737,0.0447,0.0839,0.0674,0.0528,0.0528,0.0749,0.0777,0.0736,0.0441,0.0568,0.0674,0.0736,0.0528,0.0713,0.0674
BirdChicken,0.3438,0.3438,0.3438,0.188,0.3438,0.4778,0.4778,0.4771,0.3438,0.4778,0.3438,0.1093,0.3438,0.3438,0.3438,0.1093,0.3438,0.4778,0.3438,0.1093
Car,0.2047,0.2047,0.1831,0.4025,0.284,0.2561,0.2822,0.4365,0.2822,0.2561,0.3299,0.4471,0.3082,0.2667,0.2787,0.4832,0.3504,0.2365,0.2574,0.4471
CricketX,0.0959,0.0728,0.1011,0.1391,0.1211,0.1054,0.1316,0.1674,0.1273,0.1036,0.1282,0.1613,0.1089,0.0958,0.1355,0.1543,0.1393,0.1003,0.1292,0.1662
CricketY,0.1705,0.1311,0.132,0.1041,0.1751,0.1547,0.1456,0.1689,0.1601,0.1449,0.1671,0.1957,0.1743,0.1459,0.1529,0.2034,0.1725,0.1247,0.1788,0.1624
CricketZ,0.1083,0.0827,0.1001,0.1569,0.1483,0.1121,0.1351,0.1492,0.1459,0.1069,0.1443,0.1725,0.1476,0.1044,0.1242,0.1715,0.1296,0.1118,0.1219,0.1562
DistalPhalanxTW,0.3871,0.3818,0.35,0.4702,0.4383,0.4571,0.4366,0.5001,0.4338,0.437,0.4375,0.4961,0.4421,0.4828,0.4417,0.4993,0.4323,0.4348,0.3224,0.5013
ECG5000,0.3937,0.4079,0.3393,0.4587,0.6698,0.3978,0.4286,0.4972,0.6576,0.4032,0.6664,0.4939,0.5256,0.4139,0.4084,0.5383,0.6492,0.3974,0.6668,0.4976
FiftyWords,0.0915,0.0791,0.0573,0.127,0.2835,0.2938,0.2603,0.2906,0.2906,0.2669,0.2462,0.3106,0.2724,0.2683,0.2913,0.2528,0.2632,0.2842,0.2817,0.2587
Fish,0.2558,0.3178,0.2659,0.2393,0.5024,0.4757,0.4541,0.4302,0.4932,0.4897,0.5482,0.427,0.5276,0.5113,0.4615,0.4516,0.5305,0.4945,0.5067,0.4445
Haptics,0.0405,0.0406,0.0446,0.0582,0.0769,0.0818,0.0729,0.078,0.075,0.0697,0.0697,0.0798,0.0733,0.0709,0.0734,0.0693,0.0676,0.0636,0.0707,0.0676
Herring,0.0371,0.0512,0.0512,-0.008,0.0049,-0.0068,0.0102,-0.0068,0.0049,-0.008,0.0049,-0.0077,0.0021,0.0127,-0.0041,0.012,0.0049,-0.0074,-0.0068,-0.0077
InsectWingbeatSound,0.0452,0.0483,0.0415,0.0731,0.2098,0.2059,0.2014,0.246,0.1913,0.1864,0.2033,0.2313,0.2145,0.2022,0.2279,0.2502,0.1954,0.1845,0.2006,0.2271
ItalyPowerDemand,-0.0007,-0.0007,0.0001,-0.0001,-0.0003,-0.0006,-0.0002,-0.0008,-0.0007,-0.0006,-0.0002,-0.0007,-0.0006,-0.0004,-0.0004,-0.0006,-0.0005,-0.0005,-0.0006,-0.0007
LargeKitchenAppliances,0.1086,0.1511,0.1602,-0.001,0.1396,0.1641,0.1401,0.0099,0.1644,0.185,0.1548,0.0026,0.1609,0.1493,0.1216,0.0003,0.1611,0.1678,0.151,0.0023
Lightning7,0.216,0.2264,0.2416,0.0899,0.2756,0.3344,0.3409,0.3038,0.2769,0.3167,0.2862,0.2766,0.306,0.3396,0.3431,0.3135,0.2986,0.3107,0.3261,0.3182
Meat,0.339,0.3512,0.3629,0.4709,0.4224,0.4435,0.4288,0.6582,0.4288,0.4435,0.4288,0.6725,0.4165,0.4067,0.4288,0.6582,0.4288,0.3703,0.4288,0.6725
MedicalImages,0.0622,0.0593,0.0635,0.1058,0.0354,0.0344,0.0325,0.0766,0.0325,0.0367,0.0317,0.0765,0.0432,0.0417,0.0333,0.0642,0.0329,0.0589,0.0309,0.0661
MiddlePhalanxOutlineAgeGroup,0.4244,0.4326,0.4259,0.4226,0.4264,0.4275,0.4269,0.4263,0.4272,0.4269,0.4263,0.4256,0.4277,0.4292,0.4271,0.4255,0.4276,0.427,0.4265,0.4262
OSULeaf,0.1887,0.132,0.1177,0.265,0.3771,0.3487,0.3494,0.3655,0.3671,0.353,0.3637,0.3341,0.3745,0.3216,0.357,0.3315,0.374,0.3525,0.3844,0.3972
OliveOil,0.6523,0.6119,0.4793,0.6983,0.6939,0.7127,0.7001,0.7374,0.7374,0.7053,0.7374,0.7374,0.7374,0.7053,0.7251,0.7374,0.7374,0.7374,0.7298,0.7374
Phoneme,0.0525,0.0487,0.0491,0.0627,0.0596,0.045,0.0553,0.0613,0.0562,0.0503,0.0555,0.0565,0.0535,0.0496,0.053,0.0622,0.0559,0.0464,0.0559,0.0658
Plane,0.9777,0.9556,0.9012,0.9777,0.9779,0.9779,0.9775,0.9779,0.9779,0.9779,0.9888,0.9779,0.9779,0.9779,0.9888,0.9779,0.9779,0.9779,0.9888,0.9779
ProximalPhalanxOutlineCorrect,0.0464,0.0659,0.0649,0.0648,0.0638,0.0562,0.0595,0.0616,0.0553,0.0584,0.0522,0.0627,0.0543,0.0616,0.0512,0.0683,0.0532,0.0583,0.0574,0.0584
ProximalPhalanxTW,0.428,0.3641,0.3509,0.4237,0.3764,0.3353,0.3929,0.358,0.3877,0.3794,0.3923,0.3717,0.3693,0.3719,0.3555,0.3994,0.3862,0.3724,0.4087,0.3903
ScreenType,0.0239,0.0218,0.011,0.0322,0.0126,0.0177,0.0086,0.0105,0.0067,0.022,0.0132,0.0113,0.012,0.0188,0.0163,0.0138,0.0073,0.0237,0.0117,0.0118
ShapeletSim,0.9406,0.7041,0.5603,0.98,1.0,1.0,0.9406,1.0,1.0,0.98,0.98,1.0,0.98,0.9406,0.7733,1.0,0.98,0.98,0.98,1.0
Strawberry,0.015,0.0266,-0.0179,-0.0186,-0.0005,-0.0022,-0.0006,-0.018,-0.0048,-0.0076,-0.004,-0.0175,0.0012,-0.0059,-0.0093,-0.018,-0.0048,-0.004,-0.0048,-0.0205
SwedishLeaf,0.4488,0.4431,0.4163,0.4571,0.5757,0.5533,0.5333,0.5294,0.553,0.5741,0.5397,0.535,0.5323,0.5397,0.5402,0.543,0.5715,0.5591,0.5248,0.5021
SyntheticControl,0.6825,0.5972,0.6434,0.5851,0.6863,0.6417,0.6939,0.6727,0.6813,0.6406,0.6913,0.6789,0.6894,0.6488,0.6787,0.6651,0.6866,0.6396,0.692,0.6717
